stress = 5e-05 [mu], AlMg5 = 1.4297499611902285 [MPa], AlMg10 = 1.339199996618845 [MPa], AlMg15 = 1.2485999584475882 [MPa]
stress = 0.0005736842105263159 [mu], AlMg5 = 16.404499554708938 [MPa], AlMg10 = 15.365557855942539 [MPa], AlMg15 = 14.326041628503908 [MPa]
stress = 0.0010973684210526316 [mu], AlMg5 = 31.379249148227643 [MPa], AlMg10 = 29.391915715266233 [MPa], AlMg15 = 27.403483298560225 [MPa]
stress = 0.0016210526315789473 [mu], AlMg5 = 46.35399874174635 [MPa], AlMg10 = 43.418273574589925 [MPa], AlMg15 = 40.48092496861654 [MPa]
stress = 0.0021447368421052635 [mu], AlMg5 = 61.32874833526507 [MPa], AlMg10 = 57.44463143391363 [MPa], AlMg15 = 53.558366638672865 [MPa]
stress = 0.0026684210526315795 [mu], AlMg5 = 76.30349792878378 [MPa], AlMg10 = 71.47098929323732 [MPa], AlMg15 = 66.6358083087292 [MPa]
stress = 0.003192105263157895 [mu], AlMg5 = 91.27824752230248 [MPa], AlMg10 = 85.497347152561 [MPa], AlMg15 = 79.7132499787855 [MPa]
stress = 0.003715789473684211 [mu], AlMg5 = 106.25299711582119 [MPa], AlMg10 = 99.5237050118847 [MPa], AlMg15 = 92.79069164884183 [MPa]
stress = 0.0042394736842105265 [mu], AlMg5 = 121.2277467093399 [MPa], AlMg10 = 113.5500628712084 [MPa], AlMg15 = 105.86813331889813 [MPa]
stress = 0.004763157894736842 [mu], AlMg5 = 136.2024963028586 [MPa], AlMg10 = 127.57642073053209 [MPa], AlMg15 = 118.94557498895446 [MPa]
stress = 0.005286842105263158 [mu], AlMg5 = 151.17724589637731 [MPa], AlMg10 = 141.60277858985577 [MPa], AlMg15 = 132.02301665901078 [MPa]
stress = 0.005810526315789474 [mu], AlMg5 = 166.15199548989602 [MPa], AlMg10 = 155.62913644917947 [MPa], AlMg15 = 145.1004583290671 [MPa]
stress = 0.006334210526315789 [mu], AlMg5 = 181.1267450834147 [MPa], AlMg10 = 169.65549430850317 [MPa], AlMg15 = 158.1778999991234 [MPa]
stress = 0.006857894736842105 [mu], AlMg5 = 196.10149467693344 [MPa], AlMg10 = 183.68185216782686 [MPa], AlMg15 = 171.25534166917973 [MPa]
stress = 0.007381578947368421 [mu], AlMg5 = 211.07624427045215 [MPa], AlMg10 = 197.70821002715056 [MPa], AlMg15 = 184.33278333923604 [MPa]
stress = 0.007905263157894738 [mu], AlMg5 = 226.0509938639709 [MPa], AlMg10 = 211.73456788647428 [MPa], AlMg15 = 197.4102250092924 [MPa]
stress = 0.008428947368421053 [mu], AlMg5 = 241.02574345748957 [MPa], AlMg10 = 225.76092574579795 [MPa], AlMg15 = 210.48766667934868 [MPa]
stress = 0.008952631578947368 [mu], AlMg5 = 256.0004930510083 [MPa], AlMg10 = 239.78728360512162 [MPa], AlMg15 = 223.565108349405 [MPa]
stress = 0.009476315789473685 [mu], AlMg5 = 270.975242644527 [MPa], AlMg10 = 253.81364146444534 [MPa], AlMg15 = 236.64255001946134 [MPa]
stress = 0.01 [mu], AlMg5 = 285.9499922380457 [MPa], AlMg10 = 267.839999323769 [MPa], AlMg15 = 249.71999168951763 [MPa]
